Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",175.500000,-71.000000,90.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",196.500000,-76.500000,90.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",195.750000,-123.812500,90.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",169.687500,-117.000000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",178.400000,-112.562500,-90.000000,top
"D1","~","LED_D5.0mm",230.125000,-83.485000,-90.000000,top
"D2","~","LED_D5.0mm",222.655000,-83.485000,-90.000000,top
"D3","~","LED_D5.0mm",215.185000,-83.485000,-90.000000,top
"D4","11DQO6","D_DO-41_SOD81_P12.70mm_Horizontal",183.375000,-67.975000,0.000000,top
"D5","~","LED_D5.0mm",207.715000,-83.485000,-90.000000,top
"J1","~","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",167.475000,-89.050000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",197.000000,-86.500000,90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",230.150000,-77.610000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",222.600000,-77.625000,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",215.175000,-77.675000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",207.685000,-77.685000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-104.750000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-107.750000,0.000000,top
"R7","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",201.500000,-123.800000,-90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-110.750000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",204.250000,-123.800000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",207.000000,-123.700000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",209.750000,-123.700000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",212.475000,-123.725000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.750000,-123.800000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-113.750000,0.000000,top
"R15","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-92.750000,180.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-101.750000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-95.750000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.950000,-98.750000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",162.000000,-106.950000,90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",162.250000,-113.200000,90.000000,top
"SW1","~","SW_PUSH_6mm_H4.3mm",202.750000,-132.750000,0.000000,top
"SW2","~","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",178.952500,-99.500000,-90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",189.310000,-81.310000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",193.130000,-94.220000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",206.630000,-94.220000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",220.130000,-94.220000,0.000000,top
"U5","SA39-12EWA","HDSP-7401",243.570000,-98.300000,0.000000,top
"U6","SN74LVC1G11","SOT-23-6",186.362500,-100.950000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",166.095000,-102.190000,0.000000,top
